"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_DISPLAY_MED_SALES_RATIO"
"R826D",10,460751.138088012,0.587104854324398,0,10.3759686764,4.432624114,79.768271314,0.609890508788159
"R827A",69,382625.189681335,0.562818859498454,0.944546997565218,25.784431183913,5.78424023217391,66.1969853104348,0.596393495934959
"R829C",5,486440.677966102,0.570091473302571,0,34.18874172,8.443708609,57.36754967,0.660621176470588
"R830A",9,218998.482549317,0.574552944896116,2.423018677,49.01564866,30.18677436,17.74356386,0.587448148148148
"R830B",11,481476.997578693,0.476052004878049,2.423018677,49.01564866,30.18677436,17.74356386,0.472594
"R830C",7,391957.51138088,0.568737665505227,21.79824561,39.69298246,0,37.93859649,0.579713907284768
"R830D",59,495375.302663438,0.565605609756098,21.79824561,39.69298246,0,37.93859649,0.583921800947867
"R830F",131,248500,0.548859480032163,1.13006579681679,65.5588776236641,22.3880504137405,4.73838802067176,0.594395604395604
"R830G",143,230049.875311721,0.529558023521983,0.641971191356644,67.9037993242657,19.4352358198601,11.0524444891049,0.581454887218045
"R830H",19,590000,0.567523309846432,2.423018677,49.01564866,30.18677436,17.74356386,0.604999014778325
"R830I",12,600430.174563591,0.765968775960829,2.423018677,49.01564866,30.18677436,17.74356386,0.783160095122045
"R830J",5,368079.800498753,0.738639205574913,0,73.47588717,25.61419472,0.909918107,0.755217142857143
"R831A",40,234408.87792625,0.413615368224615,0,71.8289180325,16.0088717,12.162210265625,0.458191244172494
"R831B",14,255042.033016494,0.460302520852153,2.920723227,65.92489569,12.3783032,17.52433936,0.550783585759245
"R831C",349,282929.782082324,0.546533728222997,1.7683499609341,33.4925500024012,37.6331043353868,24.5508129266189,0.609784126984127
"R831E",50,223434.244434437,0.573044875338753,1.44999999966,43.3874130334,36.8183744486,15.470619857,0.619824680271481
"R831F",46,298821.695760599,0.522985848205255,0,31.6191660230435,49.0080202591304,5.75656962082609,0.560176351351351
"R831G",44,231327.930174564,0.481937284044715,0.876456876545455,29.2606422663636,45.8694186036364,11.5893814924545,0.527009827124923
"R831H",150,415519.464051735,0.63030718972588,0.832273166226667,47.55040672428,22.8215935274267,23.4700004469667,0.671001602081337
"R832A",28,368335.411471322,0.655989665980276,6.472196901,21.14858706,19.4165907,39.28896992,0.769896695652174
"R832B",52,529564.16464891,0.5550275198282,4.20332624136539,11.9412411055385,18.0580042459808,59.4557022221154,0.569889759515847
"R832C",122,595523.520485584,0.601838899560431,1.66505411793443,24.4624657888279,23.5143657987131,46.9912272785246,0.670990730050934
"R832D",38,213969.128329298,0.608831315367598,0,78.3977060763158,7.31977001605263,9.59752321763158,0.667406552094522
"R832E",275,354628.224582701,0.57709392120075,1.89362985557818,29.3347333398291,8.03691109162546,55.6808026757454,0.628065445026178
"R832F",63,235000,0.613481680216802,0.0454609897936508,50.232977812381,26.1386543907937,15.8983140734444,0.615778911564626
"R833A",16,261703.745189379,0.521825978589884,1.660735469,68.56465006,26.09727165,3.677342823,0.587777369614512
"R833B",13,279347.496206373,0.516430565646082,0.043821209,54.99561788,14.59246275,24.40841367,0.60900487804878
"R833C",76,256122.194513716,0.536946099128887,0.126198216263158,65.4772486255263,23.2870652531579,2.24804308805263,0.562474857142857
"R833D",8,257261.001517451,0.562078961429382,3.75288683625,44.86720554375,30.7210903975,13.179767404625,0.629418525345622
"R833E",30,357797.18003928,0.542496889173431,2.077431539,60.90651558,16.52502361,13.78659112,0.571479803312629
"R833G",5,427420.33383915,0.468505066666667,1.245640259,75.08719482,19.03338316,2.939711011,0.582965333333333
"R833H",25,236418.816388467,0.715336463414634,0.17197452228,85.090132928,1.3503184712,13.38757407844,0.806156756756757
"R833I",65,355299.251870324,0.649873170731707,1.245640259,75.08719482,19.03338316,2.939711011,0.684684523809524
"R834B",7,256122.194513716,0.61397012195122,2.077431539,60.90651558,16.52502361,13.78659112,0.62775
